
4,0.0312486
8,0.0278157
12,0.0278246
16,0.0274355
20,0.0277965
24,0.0266176
28,0.0294745
32,0.0267405
36,0.0266598
40,0.0270438
44,0.0268659
48,0.0267085
52,0.0267379
56,0.0269414
60,0.0303834
64,0.0267917
68,0.0280973
72,0.0323507
76,0.0271552
80,0.0269568
84,0.0285824
88,0.0276352
92,0.027447
96,0.0276237
100,0.0266969
104,0.0273165
108,0.0271616
112,0.0402585
116,0.0349786
120,0.0273088
124,0.028663
128,0.0274445
132,0.0310298
136,0.0290752
140,0.0299558
144,0.0281753
148,0.0272601
152,0.0287757
156,0.0269056
160,0.0275059
164,0.0269849
168,0.0280422
172,0.0267289
176,0.026912
180,0.0377613
184,0.0286157
188,0.0269491
192,0.0268211
196,0.0275251
200,0.0273651
204,0.0272819
208,0.0278067
212,0.0273421
216,0.0274406
220,0.0273945
224,0.0296832
228,0.0273945
232,0.0277709
236,0.0271475
240,0.0282534
244,0.029399
248,0.0298035
252,0.0269632
256,0.0298765
260,0.0398029
264,0.0381287
268,0.0381568
272,0.039017
276,0.0382119
280,0.0382925
284,0.038048
288,0.0383002
292,0.0382234
296,0.0382554
300,0.0382925
304,0.0389389
308,0.0380544
312,0.0384359
316,0.0386125
320,0.0385434
324,0.0383642
328,0.0385843
332,0.0388787
336,0.03824
340,0.0383386
344,0.0381466
348,0.0383386
352,0.038153
356,0.0379648
360,0.0413786
364,0.0391757
368,0.0383206
372,0.0387149
376,0.0384807
380,0.0383015
384,0.0391514
